2026-07-03 22:04:40,748 | INFO | Downloading NIFTY data...
2026-07-03 22:04:42,094 | INFO | Data validation completed.
2026-07-03 22:04:42,410 | INFO | Saved 4205 rows into 'nifty_5m'.
2026-07-03 22:04:42,411 | INFO | File saved to C:\Users\prady\Desktop\NiftyAI\data\raw\nifty_5m.csv
2026-07-03 22:04:42,541 | INFO | Loaded 4205 rows.
2026-07-03 22:14:53,748 | INFO | Downloading NIFTY data...
2026-07-03 22:14:55,269 | INFO | Data validation completed.
2026-07-03 22:14:55,607 | INFO | Saved 4205 rows into 'nifty_5m'.
2026-07-03 22:14:55,607 | INFO | File saved to C:\Users\prady\Desktop\NiftyAI\data\raw\nifty_5m.csv
2026-07-03 22:14:55,840 | INFO | Loaded 4205 rows.
2026-07-03 22:37:38,798 | INFO | Downloading NIFTY data...
2026-07-03 22:37:39,984 | INFO | Data validation completed.
2026-07-03 22:37:40,150 | INFO | Saved 4205 rows into 'nifty_5m'.
2026-07-03 22:37:40,150 | INFO | File saved to C:\Users\prady\Desktop\NiftyAI\data\raw\nifty_5m.csv
2026-07-03 22:37:40,210 | INFO | Loaded 4205 rows.
2026-07-03 22:41:49,290 | INFO | Downloading NIFTY data...
2026-07-03 22:44:10,146 | INFO | Downloading NIFTY data...
2026-07-03 22:44:11,150 | INFO | Data validation completed.
2026-07-03 22:44:11,322 | INFO | Saved 4205 rows into 'nifty_5m'.
2026-07-03 22:44:11,322 | INFO | File saved to C:\Users\prady\Desktop\NiftyAI\data\raw\nifty_5m.csv
2026-07-03 22:44:11,382 | INFO | Loaded 4205 rows.
2026-07-03 22:44:15,729 | INFO | Downloading NIFTY data...
2026-07-03 23:07:11,150 | INFO | Downloading NIFTY data...
2026-07-03 23:07:12,406 | INFO | Data validation completed.
2026-07-03 23:07:12,604 | INFO | Saved 4205 rows into 'nifty_5m'.
2026-07-03 23:07:12,605 | INFO | File saved to C:\Users\prady\Desktop\NiftyAI\data\raw\nifty_5m.csv
2026-07-03 23:07:12,664 | INFO | Loaded 4205 rows.
2026-07-03 23:07:49,193 | INFO | Downloading NIFTY data...
2026-07-03 23:07:50,130 | INFO | Data validation completed.
2026-07-03 23:07:50,303 | INFO | Saved 4205 rows into 'nifty_5m'.
2026-07-03 23:07:50,303 | INFO | File saved to C:\Users\prady\Desktop\NiftyAI\data\raw\nifty_5m.csv
2026-07-03 23:07:50,358 | INFO | Loaded 4205 rows.
2026-07-03 23:08:15,839 | INFO | Downloading NIFTY data...
2026-07-03 23:08:16,998 | INFO | Data validation completed.
2026-07-03 23:08:17,160 | INFO | Saved 4205 rows into 'nifty_5m'.
2026-07-03 23:08:17,160 | INFO | File saved to C:\Users\prady\Desktop\NiftyAI\data\raw\nifty_5m.csv
2026-07-03 23:08:17,214 | INFO | Loaded 4205 rows.
