Datetime,Close,High,Low,Open,Volume
2026-04-10 09:15:00+05:30,23965.69921875,23967.400390625,23867.19921875,23880.55078125,0
2026-04-10 09:20:00+05:30,23918.650390625,23978.19921875,23917.05078125,23966.25,0
2026-04-10 09:25:00+05:30,23936.900390625,23944.19921875,23902.19921875,23918.849609375,0
2026-04-10 09:30:00+05:30,23943.599609375,23959.5,23931.19921875,23937.349609375,0
2026-04-10 09:35:00+05:30,23936.55078125,23944.05078125,23921.849609375,23943.19921875,0
2026-04-10 09:40:00+05:30,23948.150390625,23957.94921875,23934.94921875,23937.150390625,0
2026-04-10 09:45:00+05:30,23974.349609375,23992.099609375,23943.650390625,23948.599609375,0
2026-04-10 09:50:00+05:30,23986.849609375,23987.94921875,23971.25,23973.25,0
2026-04-10 09:55:00+05:30,23988.05078125,23998.25,23980.75,23986.650390625,0
2026-04-10 10:00:00+05:30,23972.349609375,24001.25,23971.849609375,23988.44921875,0
2026-04-10 10:05:00+05:30,23961.55078125,23973.94921875,23916.30078125,23971.650390625,0
2026-04-10 10:10:00+05:30,23994.400390625,23995.900390625,23960.05078125,23960.650390625,0
2026-04-10 10:15:00+05:30,24015.05078125,24018.650390625,23994.94921875,23994.94921875,0
2026-04-10 10:20:00+05:30,24021.55078125,24023.94921875,24010.849609375,24014.150390625,0
2026-04-10 10:25:00+05:30,24009.099609375,24035.599609375,24002.5,24022.55078125,0
2026-04-10 10:30:00+05:30,24019.849609375,24023.900390625,24001.0,24010.0,0
2026-04-10 10:35:00+05:30,24007.05078125,24026.099609375,24003.55078125,24019.69921875,0
2026-04-10 10:40:00+05:30,24003.849609375,24017.599609375,24003.80078125,24007.400390625,0
2026-04-10 10:45:00+05:30,23994.94921875,24009.05078125,23993.650390625,24003.75,0
2026-04-10 10:50:00+05:30,23985.69921875,23997.349609375,23984.75,23994.650390625,0
2026-04-10 10:55:00+05:30,23998.849609375,24000.0,23972.30078125,23985.30078125,0
2026-04-10 11:00:00+05:30,24001.80078125,24010.400390625,23994.900390625,23999.69921875,0
2026-04-10 11:05:00+05:30,24010.05078125,24011.19921875,23993.94921875,24001.44921875,0
2026-04-10 11:10:00+05:30,24013.30078125,24021.349609375,24007.30078125,24010.05078125,0
2026-04-10 11:15:00+05:30,23992.650390625,24015.349609375,23985.150390625,24012.05078125,0
2026-04-10 11:20:00+05:30,23992.30078125,24001.55078125,23990.099609375,23992.80078125,0
2026-04-10 11:25:00+05:30,23972.55078125,24005.25,23971.30078125,23992.599609375,0
2026-04-10 11:30:00+05:30,24004.599609375,24007.400390625,23972.150390625,23972.150390625,0
2026-04-10 11:35:00+05:30,23983.849609375,24006.69921875,23980.099609375,24004.30078125,0
2026-04-10 11:40:00+05:30,23980.150390625,23990.05078125,23970.05078125,23984.30078125,0
2026-04-10 11:45:00+05:30,23963.349609375,23987.099609375,23953.80078125,23980.94921875,0
2026-04-10 11:50:00+05:30,23982.44921875,23988.55078125,23964.05078125,23964.650390625,0
2026-04-10 11:55:00+05:30,23994.150390625,23996.0,23979.0,23982.400390625,0
2026-04-10 12:00:00+05:30,24008.05078125,24008.05078125,23984.94921875,23994.69921875,0
2026-04-10 12:05:00+05:30,24015.05078125,24019.19921875,24002.599609375,24007.55078125,0
2026-04-10 12:10:00+05:30,24009.05078125,24019.55078125,24008.30078125,24015.05078125,0
2026-04-10 12:15:00+05:30,24003.900390625,24011.0,23991.150390625,24009.099609375,0
2026-04-10 12:20:00+05:30,24019.19921875,24020.19921875,23991.75,24003.349609375,0
2026-04-10 12:25:00+05:30,24009.599609375,24032.599609375,23994.75,24019.150390625,0
2026-04-10 12:30:00+05:30,23998.25,24016.80078125,23995.30078125,24009.349609375,0
2026-04-10 12:35:00+05:30,24014.400390625,24020.44921875,23996.0,23996.0,0
2026-04-10 12:40:00+05:30,24004.25,24022.0,24003.30078125,24014.30078125,0
